fare_amount,pickup_longitude,pickup_latitude,passenger_count,hour,day,month,season,cluster
7.5,-73.99981689453125,40.73835372924805,1.0,19,3,5,spring,6
7.7,-73.994355,40.728225,1.0,20,4,7,summer,6
12.9,-74.005043,40.74077,1.0,21,0,8,summer,6
4.9,-73.96901899999999,40.75591,1.0,2,5,2,winter,6
9.7,-73.975187,40.745767,1.0,9,4,2,winter,6
12.5,-74.001065,40.741787,1.0,19,3,3,spring,6
6.5,-73.9743881225586,40.74695205688477,1.0,17,4,5,spring,6
3.3,-73.966378,40.80444,5.0,14,1,5,spring,6
10.9,-73.953352,40.767382,1.0,11,5,6,summer,6
6.9,-73.97336999999999,40.755193,1.0,22,1,4,spring,6
9.7,-73.990718,40.75192,2.0,9,1,2,winter,6
4.9,-73.988908,40.756982,1.0,9,3,9,autumn,6
10.5,-74.00566500000001,40.741138,2.0,23,5,3,spring,6
4.9,-73.992075,40.719633,1.0,0,5,8,summer,6
5.0,-73.98918914794923,40.72914123535156,2.0,23,1,3,spring,6
4.1,-74.010798,40.726085,2.0,2,3,11,autumn,6
7.7,-73.9943,40.739512,2.0,16,5,9,autumn,6
12.9,-73.972987,40.76404,5.0,22,2,5,spring,6
9.5,-73.986059,40.757159,1.0,17,3,2,winter,6
5.0,-73.957802,40.776372,1.0,6,1,1,winter,6
12.0,-73.993909,40.741551,1.0,17,2,11,autumn,6
4.9,-73.97778000000001,40.763656,1.0,20,2,5,spring,6
7.3,-73.971075,40.787833,5.0,2,5,12,winter,6
7.7,-74.004184,40.712975,1.0,15,5,2,winter,6
10.5,-73.982085,40.771387,1.0,19,0,2,winter,6
11.0,-73.991186,40.741393,2.0,20,1,9,autumn,6
39.5,-73.78808000000001,40.642187,4.0,6,2,6,summer,0
8.1,-73.98869,40.751273,3.0,5,4,6,summer,6
5.7,-74.010863,40.710813,1.0,16,5,2,winter,6
6.9,-73.96869699999999,40.754998,1.0,19,2,8,summer,6
7.7,-73.96837,40.759005,3.0,21,1,5,spring,6
29.0,-73.9926,40.753172,1.0,17,3,2,winter,6
9.0,-73.970164,40.765016,1.0,14,2,4,spring,6
4.9,-73.987139,40.753038,1.0,15,1,2,winter,6
5.4,-73.994222,40.751229,1.0,22,5,1,winter,6
3.3,-73.982371,40.765501,1.0,0,3,7,summer,6
8.9,-73.977137,40.779272,1.0,8,3,2,winter,6
17.0,-73.9939,40.751714,1.0,14,3,1,winter,6
12.0,-73.97952270507811,40.72731018066406,1.0,9,6,1,winter,6
13.5,-73.96204300000001,40.805372,1.0,10,3,5,spring,6
7.7,-73.983052,40.776055,1.0,18,5,10,autumn,6
13.3,-73.9859,40.7277,1.0,13,0,8,summer,6
14.9,-73.997385,40.720822,1.0,3,4,5,spring,6
7.5,-73.937809,40.850558,1.0,2,6,12,winter,6
16.9,-73.986593,40.759143,1.0,11,3,4,spring,6
11.0,-73.958903,40.815239,1.0,20,3,11,autumn,6
6.5,-73.990305,40.756175,1.0,22,4,3,spring,6
6.5,-73.968111,40.765625,1.0,14,4,1,winter,6
5.3,-73.98973000000001,40.734507,1.0,1,4,7,summer,6
17.3,-73.975307,40.757499,3.0,11,6,10,autumn,6
6.5,-73.997925,40.749805,2.0,6,2,6,summer,6
20.0,-73.977453,40.785215,1.0,20,5,10,autumn,6
13.0,-73.993619,40.749808,2.0,14,4,8,summer,6
5.5,-73.968242,40.762112,1.0,19,2,1,winter,6
15.5,-73.98994499999999,40.733990000000006,1.0,15,5,12,winter,6
8.5,-73.99765014648438,40.73622131347656,2.0,11,0,2,winter,6
7.5,-73.99793299999999,40.756223,1.0,20,4,2,winter,6
6.9,-73.94945799999999,40.773348,5.0,10,2,5,spring,6
21.0,-73.95431518554686,40.76970291137695,1.0,14,6,5,spring,6
4.1,-73.99455400000001,40.721011,2.0,20,3,6,summer,6
5.7,-73.99096800000001,40.72757,1.0,1,5,12,winter,6
19.3,-74.013173,40.704148,1.0,9,2,3,spring,6
17.3,-73.995721,40.767201,4.0,4,5,12,winter,6
12.0,-74.010142,40.719717,1.0,9,1,4,spring,6
11.3,-73.98149599999999,40.768334,1.0,20,3,4,spring,6
9.7,-73.94984000000001,40.796042,3.0,20,6,4,spring,6
11.0,-73.96671295166014,40.80403518676758,1.0,13,3,5,spring,6
3.5,-73.97534942626955,40.75249099731445,2.0,1,3,5,spring,6
26.1,-73.97613199999999,40.744211,2.0,1,6,6,summer,6
7.7,-73.987383,40.721255,1.0,10,2,9,autumn,6
5.3,-73.971503,40.760135,1.0,18,3,4,spring,6
4.5,-73.98192,40.761172,1.0,12,2,9,autumn,6
7.3,-74.008325,40.725947,1.0,3,5,1,winter,6
5.3,-73.986465,40.755052,3.0,18,6,8,summer,6
9.3,-73.95770999999999,40.765555,1.0,12,4,3,spring,6
3.7,-73.97645899999999,40.744077,1.0,11,1,4,spring,6
4.0,-73.950582,40.786452,1.0,13,6,4,spring,6
9.5,-73.97843170166014,40.75239944458008,1.0,8,5,4,spring,6
4.5,-73.990055,40.756413,3.0,20,0,10,autumn,6
3.3,-73.982326,40.731314000000005,1.0,3,0,4,spring,6
30.9,-73.995888,40.759078,1.0,9,4,11,autumn,6
9.0,-73.95828,40.7689,5.0,18,2,2,winter,6
4.1,-73.977633,40.753166,1.0,21,6,2,winter,6
6.5,-74.00054499999999,40.737462,5.0,9,4,7,summer,6
43.0,-73.86270141601562,40.76895904541016,2.0,18,4,5,spring,4
6.0,-73.95018768310547,40.71929550170898,1.0,1,1,4,spring,5
3.7,-73.984218,40.732007,5.0,21,1,3,spring,6
10.1,-73.99268000000001,40.768321,2.0,17,2,3,spring,6
18.0,-73.95474243164062,40.68746948242188,1.0,22,4,1,winter,2
6.5,-73.964187,40.757303,1.0,15,6,6,summer,6
35.3,-73.77674300000001,40.645374,1.0,21,4,5,spring,0
6.1,-73.997893,40.735897,5.0,17,3,7,summer,6
4.9,-73.98575799999999,40.753255,1.0,18,6,6,summer,6
6.1,-73.9956,40.754782,1.0,22,4,7,summer,6
10.0,-73.976022,40.76004,1.0,15,0,2,winter,6
10.5,-73.98860400000001,40.778445,1.0,15,6,6,summer,6
8.9,-73.997975,40.720503,1.0,18,2,4,spring,6
13.0,-74.006395,40.749657,5.0,14,3,3,spring,6
6.9,-73.990318,40.737122,1.0,0,2,1,winter,6
9.7,-73.982613,40.771843,2.0,9,0,11,autumn,6
10.1,-73.980253,40.765255,2.0,1,5,9,autumn,6
9.7,-73.954797,40.767289,1.0,17,2,7,summer,6
5.3,-73.956158,40.781593,1.0,12,1,9,autumn,6
7.5,-73.97513199999999,40.73302,1.0,5,0,11,autumn,6
10.5,-73.995627,40.749295,1.0,16,4,9,autumn,6
6.1,-73.985523,40.760627,1.0,18,2,11,autumn,6
7.7,-73.962497,40.76308,1.0,13,6,1,winter,6
8.9,-74.008055,40.711553,1.0,0,1,6,summer,6
9.0,-73.978163,40.74563,2.0,1,6,8,summer,6
15.0,-73.98861694335938,40.74912643432617,4.0,21,2,1,winter,6
7.5,-73.976543,40.788207,1.0,20,0,4,spring,6
9.5,-74.006591796875,40.74441146850585,2.0,19,0,4,spring,6
5.3,-73.965744,40.754379,1.0,12,1,9,autumn,6
8.0,-73.99436950683594,40.74667739868164,1.0,15,1,2,winter,6
11.3,-73.944435,40.778137,3.0,11,1,12,winter,6
38.54,-73.86276245117188,40.76879119873047,6.0,9,1,6,summer,4
18.0,-73.98103332519531,40.75872802734375,2.0,23,4,2,winter,6
6.0,-73.98799133300781,40.7493782043457,1.0,11,5,4,spring,6
12.5,-73.991377,40.70255,1.0,15,4,5,spring,2
16.5,-73.98715200000001,40.750756,1.0,0,1,4,spring,6
5.5,-73.97497800000001,40.762812,1.0,14,2,1,winter,6
13.7,-73.992956,40.754508,1.0,10,2,10,autumn,6
8.9,-74.00662,40.704113,1.0,18,0,11,autumn,6
4.0,-73.94662475585938,40.77677917480469,5.0,5,1,2,winter,6
4.9,-73.968681,40.754807,1.0,14,1,6,summer,6
8.5,-73.95854200000001,40.780734,2.0,13,2,9,autumn,6
3.7,-73.980351,40.780344,1.0,10,0,2,winter,6
